"Iteration","LogProbability","CurrentDecryptedText....current.decryted.text","CorrectText....correct.text"
182,-180.218266945586,"oyry kx xtwy xvwiby jyhj","here is some sample text"
183,-180.218266945586,"oyry kx xtwy xvwiby jyej","here is some sample text"
184,-180.218266945586,"oyry kx xtwy xvwiby jyej","here is some sample text"
185,-180.218266945586,"oywy kx xtry xvriby jyej","here is some sample text"
186,-180.218266945586,"oywy kx xhry xvriby jyej","here is some sample text"
187,-180.218266945586,"oywy kx xhry xvriby jyqj","here is some sample text"
188,-180.218266945586,"oywy hx xkry xvriby jyqj","here is some sample text"
189,-180.218266945586,"oywy hx xkzy xvziby jyqj","here is some sample text"
190,-180.218266945586,"oywy hx xkzy xvziby jyqj","here is some sample text"
191,-180.218266945586,"oywy hx xkzy xizvby jyqj","here is some sample text"
192,-180.218266945586,"oywy hx xkzy xizvmy jyqj","here is some sample text"
193,-180.218266945586,"oywy hx xkzy xizlmy jyqj","here is some sample text"
194,-180.218266945586,"oywy hx xkzy xizlmy jyqj","here is some sample text"
195,-180.218266945586,"oywy hx xkzy xizlmy fyqf","here is some sample text"
196,-180.218266945586,"oywy hx xkzy xizlmy fycf","here is some sample text"
197,-180.218266945586,"oywy nx xkzy xizlmy fycf","here is some sample text"
198,-180.218266945586,"oyky nx xwzy xizlmy fycf","here is some sample text"
199,-180.218266945586,"qyky nx xwzy xizlmy fycf","here is some sample text"
200,-180.218266945586,"qyky nx xwzy xizlmy eyce","here is some sample text"
201,-180.218266945586,"qyky nx xwzy xtzlmy eyce","here is some sample text"
202,-180.218266945586,"oyky nx xwzy xtzlmy eyce","here is some sample text"
203,-180.218266945586,"oyky nx xczy xtzlmy eywe","here is some sample text"
204,-180.218266945586,"vyky nx xczy xtzlmy eywe","here is some sample text"
205,-180.218266945586,"cyky nx xvzy xtzlmy eywe","here is some sample text"
206,-180.218266945586,"cyky nx xvzy xtzlmy eywe","here is some sample text"
207,-180.218266945586,"cbkb nx xvzb xtzlmb ebwe","here is some sample text"
208,-180.218266945586,"cbkb nx xvzb xtzlmb fbwf","here is some sample text"
209,-180.218266945586,"cbkb nx xvzb xtzlmb fbwf","here is some sample text"
210,-180.218266945586,"cbkb nx xezb xtzlmb fbwf","here is some sample text"
211,-180.218266945586,"cbkb nx xezb xtzlmb fbwf","here is some sample text"
212,-180.218266945586,"cpkp nx xezp xtzlmp fpwf","here is some sample text"
213,-180.218266945586,"cpkp nx xezp xtzlmp fpwf","here is some sample text"
214,-180.218266945586,"cpkp nx xezp xqzlmp fpwf","here is some sample text"
215,-154.203713882705,"cpkp ne exzp eqzlmp fpwf","here is some sample text"
216,-153.921724815597,"cpkp re exzp eqzlmp fpwf","here is some sample text"
217,-153.921724815597,"cpkp re exvp eqvlmp fpwf","here is some sample text"
218,-153.921724815597,"cpvp re exkp eqklmp fpwf","here is some sample text"
219,-153.921724815597,"cpvp re exkp eqklmp fpwf","here is some sample text"
220,-153.921724815597,"cpvp re exkp eqklmp upwu","here is some sample text"
221,-153.921724815597,"ckvk re expk eqplmk ukwu","here is some sample text"
222,-153.921724815597,"ckvk re expk eqpomk ukwu","here is some sample text"
223,-153.921724815597,"bkvk re expk eqpomk ukwu","here is some sample text"
224,-153.921724815597,"bkvk re exfk eqfomk ukwu","here is some sample text"
225,-153.921724815597,"bkvk re exfk eqfomk gkwg","here is some sample text"
226,-153.921724815597,"bkvk re exfk eqfonk gkwg","here is some sample text"
227,-153.921724815597,"bkvk re exfk eqfonk gkwg","here is some sample text"
228,-153.921724815597,"okvk re exfk eqfbnk gkwg","here is some sample text"
229,-153.921724815597,"okvk re exyk eqybnk gkwg","here is some sample text"
230,-153.921724815597,"okmk re exyk eqybnk gkwg","here is some sample text"
231,-153.921724815597,"okmk re exyk eqybnk lkwl","here is some sample text"
232,-153.921724815597,"okmk re exyk eqybnk lkwl","here is some sample text"
233,-154.24115775306,"okmk ra axyk aqybnk lkwl","here is some sample text"
234,-154.24115775306,"okmk ra axyk aqybnk lkwl","here is some sample text"
235,-154.24115775306,"okmk ra axyk aqybnk lkwl","here is some sample text"
236,-154.24115775306,"okmk ra axyk aqyjnk lkwl","here is some sample text"
237,-154.24115775306,"okmk ra axyk aqyjnk lkwl","here is some sample text"
238,-154.24115775306,"okhk ra axyk aqyjnk lkwl","here is some sample text"
239,-154.24115775306,"okhk ra axyk aqyjnk lkwl","here is some sample text"
240,-180.218266945586,"rkhk oa axyk aqyjnk lkwl","here is some sample text"
241,-180.218266945586,"rkhk oa axyk aqyjnk lkwl","here is some sample text"
242,-180.218266945586,"rkhk oa axyk aqyjvk lkwl","here is some sample text"
243,-180.218266945586,"rkhk oa axyk aqyjvk lkwl","here is some sample text"
244,-180.218266945586,"rkhk oa axyk aqyjvk lkwl","here is some sample text"
245,-180.218266945586,"rkhk oa axyk aqyjvk ekwe","here is some sample text"
246,-180.218266945586,"rkhk oa axyk aqyjvk ekle","here is some sample text"
247,-180.218266945586,"rkhk oa axyk aqyjvk ekle","here is some sample text"
248,-180.218266945586,"rkhk oa axyk aqyjvk wklw","here is some sample text"
249,-180.218266945586,"rkwk oa axyk aqyjvk hklh","here is some sample text"
250,-180.218266945586,"rkwk oa axyk aqyjvk hklh","here is some sample text"
251,-180.218266945586,"rkwk oa axyk anyjvk hklh","here is some sample text"
252,-180.218266945586,"rkwk oa axyk anyjvk hklh","here is some sample text"
253,-180.218266945586,"rkwk oa aqyk anyjvk hklh","here is some sample text"
254,-155.500658903101,"rkwk om mqyk mnyjvk hklh","here is some sample text"
255,-155.500658903101,"rkwk om meyk mnyjvk hklh","here is some sample text"
256,-155.500658903101,"rkwk om meyk mnyjvk hklh","here is some sample text"
257,-155.500658903101,"rkwk om menk mynjvk hklh","here is some sample text"
258,-155.500658903101,"rkwk om meqk myqjvk hklh","here is some sample text"
259,-155.500658903101,"rkwk om meuk myujvk hklh","here is some sample text"
260,-155.500658903101,"rkwk om meuk myujvk hklh","here is some sample text"
261,-154.616168209954,"rkwk oh heuk hyujvk mklm","here is some sample text"
262,-180.218266945586,"rkwk yh heuk houjvk mklm","here is some sample text"
263,-180.218266945586,"rkwk yh heuk houtvk mklm","here is some sample text"
264,-180.218266945586,"rkwk yh heuk houtvk mklm","here is some sample text"
265,-180.218266945586,"rkwk dh heuk houtvk mklm","here is some sample text"
266,-180.218266945586,"rkwk dh heuk houtvk mklm","here is some sample text"
267,-180.218266945586,"rkwk dh heuk houyvk mklm","here is some sample text"
268,-180.218266945586,"rkwk dh heuk houyvk mklm","here is some sample text"
269,-180.218266945586,"rkwk hd deuk douyvk mklm","here is some sample text"
270,-180.218266945586,"rkxk hd deuk douyvk mklm","here is some sample text"
271,-180.218266945586,"rmxm hd deum douyvm kmlk","here is some sample text"
272,-180.218266945586,"rmxm hd deum dwuyvm kmlk","here is some sample text"
273,-180.218266945586,"rmxm hd deym dwyuvm kmlk","here is some sample text"
274,-180.218266945586,"rsxs hd deys dwyuvs kslk","here is some sample text"
275,-180.218266945586,"rsxs hd deys dwyuvs kslk","here is some sample text"
276,-180.218266945586,"rsjs hd deys dwyuvs kslk","here is some sample text"
277,-180.218266945586,"rsjs hb beys bwyuvs kslk","here is some sample text"
278,-156.168034658068,"raja hb beya bwyuva kalk","here is some sample text"
279,-158.005731222484,"raga hb beya bwyuva kalk","here is some sample text"
280,-180.218266945586,"raxa hb beya bwyuva kalk","here is some sample text"
281,-180.218266945586,"raxa hg geya gwyuva kalk","here is some sample text"
282,-180.218266945586,"raxa hg geya gwyuqa kalk","here is some sample text"
283,-180.218266945586,"raxa hg geya gkyuqa walw","here is some sample text"
284,-180.218266945586,"raxa hg geya gkyuqa walw","here is some sample text"
285,-180.218266945586,"raxa hb beya bkyuqa walw","here is some sample text"
286,-180.218266945586,"raxa hz zeya zkyuqa walw","here is some sample text"
287,-180.218266945586,"raxa hl leya lkyuqa wazw","here is some sample text"
288,-180.218266945586,"raxa hl leya lkyqua wazw","here is some sample text"
289,-180.218266945586,"raxa hl leya lkyqua wazw","here is some sample text"
290,-180.218266945586,"raxa hl leya lkyqua wazw","here is some sample text"
291,-180.218266945586,"raxa hl leya lkyqua wazw","here is some sample text"
292,-180.218266945586,"rexe hl laye lkyque wezw","here is some sample text"
293,-180.218266945586,"rexe hl laye lkyque wezw","here is some sample text"
294,-180.218266945586,"rcxc hl layc lkyquc wczw","here is some sample text"
295,-180.218266945586,"rcxc hl layc lbyquc wczw","here is some sample text"
296,-180.218266945586,"rcxc hl layc lbyquc wczw","here is some sample text"
297,-180.218266945586,"rcxc hl layc lbyquc sczs","here is some sample text"
