"","X1991","X1992","X1993","X1994","X1996","X1997","X1998","X1999","X2000","X2001","X2002","X2003","X2004","X2005","X2006","X2007","X2008","X2009"
"ÄÏ¹Ï",1614507,1469697,2225664,1764297,2854726.67630786,3134322.12059032,3499193.67530579,3684748.09067169,3854918.43749587,4394948.34140077,4810600.96066249,4912745.90228073,5006614.17865458,5132704.44114246,5303097.54782438,5132754.44845746,5386274.2602513,5621168.62026756
"Þ³²Ë",1635761.25939006,1367906,1738728,1484515,2516384.39396824,2762842.17868582,3084469.14693779,3248031.64801146,3398033.40076013,3874058.94595172,4240448.40561621,4330487.12601075,4413230.13174794,4524376.17293961,4674574.28404168,4524420.25338629,4747892.89027806,4954947.5644371
"ÂíÁåÊí",9382318,13332200,12721410,14179480,17815321.7597405,19560176.3000329,21837208.354338,22995186.6788897,24057158.5684579,27427290.8398915,30021229.2417296,30658679.0600122,14444000,32031361.1371251,33094723.1907933,32031673.2147802,33613799.1174315,35079690.2789104
"²¤²Ë",3206567,2926752,3301454,3239969,7407241.56082754,8132715.91614679,9079458.65228421,9560922.04025063,10002467.9423076,11403699.0939595,12482204.92144,15739000,15674000,16179000,16270000,13318105.8584946,16628000,17538000
"ÇÛ²Ë",5427639,5065369,6096536,6170124,10117179.3838905,11108068.3849989,12401176.7591812,13058783.4300089,13661868.8108012,15575740.0951573,17048817.0609331,17955000,19187000,19513000,20680000,18190532.1863135,19760000,20814000
"ÇÑ×Ó",5787334,5583240,6529184,7588994,11536193.6659897,12666062.6724133,14140539.7049579,14890380.9030683,15578053.7697791,17760360.611473,19440048.2514052,21192000,20232154.3618141,22634000,22470000,20741897.9367781,23722000,25885000
"Êß²Ë",204097000,168583000,196948000,209046000,313974000,344725000,384855000,405263000,423979000,483373600,529088700,540323000,550647000,564514900,583255400,564520400,592403500,618238100
"ËŠÍ·",24666.403983717,21894,25715,21350,37945.7293560589,41662.1807928917,46512.1432708633,48978.5782135606,51240.5243321182,58418.73468333,63943.6915653813,65301.4272610273,66549.1474858611,68225.1702779932,70490.0773753873,68225.8349875279,71595.6827016951,74717.9563282439
"¶¬¹Ï",2220495.70107874,1723159,1918412,2650013,3415914.57615984,3750473.45406531,4187072.19135341,4409103.2661248,4612726.04128264,5258916.10761037,5756278.55303771,5878503.35229801,5990824.44284778,6141701.78221578,6345591.10781129,6141761.62006913,6445118.86531403,6726189.2300871
"¸ÊÀ¶",8688783,8869168,10241800,8803628,15692160.8491348,17229070.3966506,19234734.6073043,20254709.5689545,21190119.769966,24158612.755914,26443415.6454344,28752000,28458000,29858000,30767000,28214262.7077972,29607836.9851976,30899028.9268012
"°×²Ë",43167320,33097010,36035040,37902360,66478000,81609000,80707000,84303000,85938000,98876567.354071,108227827.257897,110525861.367799,112637688.909401,115474439.506474,119307905.609089,115475564.559891,121179196.730102,126463797.641209
"Ñó´Ð",1811307,1419770,1363520,3023697,3036445.48556474,3333838.6936858,3721936.29837826,3919302.25692708,4100304.86767774,4674710.59884314,5116821.7577835,5225468.77797778,5325312.27837262,5459428.86875674,5640668.41923616,5459482.05930809,5729139.77975167,5978986.43756846
"Óó",909668.1392889,598262,887019,1111816,1399394.13301074,1536452.51677568,1715313.46245182,1806272.69941566,1889690.62763083,2154414.6327157,2358168.58281985,2408240.28782881,2454254.75090283,2516064.51189317,2599591.63754589,2516089.02560364,2640365.06932112,2755510.87014755
"»¨Ò¬²Ë",2486262,1986030,4765385,2311972,4648250.29032658,5103505.64483947,5697613.06822741,5999744.74768172,6276827.09346115,7156138.65013091,7832931.08150201,7999250.0704521,8152092.45866683,8357400.76509099,8634845.8228533,8357482.19023,8770279.51634683,9152749.67932361
"½ðÕë²Ë",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"ÜÈ²Ë",46216.5184180865,29372.2,34667,68793,71097.4936123524,78060.8696437226,87148.0629102469,91769.3297974442,96007.4536244133,109456.997835425,119808.902866536,122352.841448996,124690.648159278,127830.94936787,132074.621070121,127832.19480926,134146.152411299,139996.239706673
"´ó´Ð",5636667,4481858,5573441,5629947,9741356.16148065,10695436.5736221,11940509.8050368,12573688.3374742,13154370.8841764,14997147.5238621,16415504.0471975,17628000,18917000,19250000,19560000,17514807.8402082,19337000,20754000
"½ª",805147.069398764,341369,1015560,972764.5,1238603.43840138,1359913.78363469,1518223.56719335,1598731.56776313,1672564.75762318,1906871.91612189,2087214.49240803,2131532.94746492,2172260.33858029,2226968.14439671,2300897.98488466,2226989.84147644,2336986.54035371,2438902.06326237
"½æ²Ë",3301610,3428146,3696143,3514680,5658736.56966964,6212960.19409048,6936221.03269764,7304033.32261278,7641350.78723704,8711816.47885769,9535737.27534435,9738212.46196694,9924281.36049124,10174221.778725,10511980.8055358,10174320.9049301,10676856.5214008,11142472.1321927
"Ë¿¹Ï",350749.137792417,255111,343031,397317.8,539577.307795981,592424.173434646,661389.238573328,696461.230832242,728625.451094779,830697.528291041,909260.818829824,928567.42813178,946309.64922552,970142.209076921,1002348.533603,970151.661054451,1018069.92190091,1062467.75075294
"Â«Ëñ",504588.4,328041.2,324239,374843.8,616770.894470783,677178.194998442,756009.614144972,796099.113321208,832864.845709607,949539.667729056,1039342.46387721,1061411.13599577,1081691.61372487,1108933.73277751,1145747.59299469,1108944.53698397,1163718.13138229,1214467.64997394
"²ÝÝ®",339049.035969504,84487.8,266511.4,295875.3,521578.377043705,572662.405251362,639326.97069552,673229.050226653,704320.353661809,802987.565192573,878930.183576231,897592.773348703,1858505,937780.725024968,968912.728232201,937789.861708495,984109.690882081,1027026.52074562
"¾Â²Ë",3752253,3148962,3878197,4735737,6233104.13851246,6843582.02955884,7640254.5854982,8045400.20029039,8416955.73373074,9596074.79156766,10503624.394409,10726651.0202548,10931606.102924,11206915.7300985,11578957.6447405,11207024.9177152,11760568.414962,12273444.4880661
